Trade ID,Entry Time (UTC),Exit Time (UTC),Symbol,Side,Setup / Trigger Logic,Entry Price,Exit Price,Exit Reason,Size (units),Risk ($),Realized PnL ($),R-Multiple,Running Balance ($)
57,2025-03-04 09:30:00,2025-03-04 09:45:00,XAUUSD,SHORT,"TRAP · OVL HIGH",2717.76,2723.25,SL,3.75,20.00,-20.56,-1.03R,979.44
93,2025-03-06 11:00:00,2025-03-06 13:15:00,XAUUSD,LONG,"TRAP · TRIPLE BOTTOM",2514.71,2532.02,TP,2.24,19.59,38.84,1.98R,1018.28
242,2025-03-09 15:15:00,2025-03-09 16:30:00,XAUUSD,SHORT,"TRAP · PDH",2653.91,2676.64,SL,0.91,20.41,-20.62,-1.01R,997.66
980,2025-03-25 12:00:00,2025-03-25 14:00:00,XAUUSD,LONG,"TRAP · PDL",2378.48,2342.15,SL,0.55,20.00,-20.13,-1.01R,977.53
985,2025-03-25 14:30:00,2025-03-25 15:30:00,XAUUSD,LONG,"TRAP · PDL",2378.04,2355.38,SL,0.87,19.60,-19.73,-1.01R,957.80
1051,2025-03-27 07:15:00,2025-03-27 08:00:00,XAUUSD,LONG,"TRAP · OVL LOW",2356.43,2336.39,SL,0.97,19.21,-19.42,-1.01R,938.38
1056,2025-03-27 10:15:00,2025-03-27 10:45:00,XAUUSD,LONG,"TRAP · OVL LOW",2354.68,2331.94,SL,0.84,18.82,-19.00,-1.01R,919.38
1138,2025-03-29 10:00:00,2025-03-29 10:15:00,XAUUSD,SHORT,"TRAP · PDH",2588.43,2603.94,SL,1.21,18.44,-18.71,-1.01R,900.67
1142,2025-03-29 12:45:00,2025-03-29 13:15:00,XAUUSD,SHORT,"TRAP · PDH",2586.70,2615.41,SL,0.63,18.06,-18.21,-1.01R,882.46
1205,2025-03-31 13:45:00,2025-03-31 14:00:00,XAUUSD,LONG,"TRAP · PDL",2582.25,2574.26,SL,2.26,17.70,-18.04,-1.02R,864.43
1262,2025-04-01 12:15:00,2025-04-01 17:00:00,XAUUSD,LONG,"TRAP · PDL",2413.28,2407.18,SL,2.92,17.34,-17.77,-1.03R,846.65
